EmployeeID,Name,Age,Gender,Department,Salary,Experience,JoinDate,Attrition,PerformanceScore
93,Priya Sharma,41.0,Male,IT,56024.0,19.0,2017-01-21,No,2.0
94,Divya Sharma,25.0,Female,HR,78006.0,21.0,2011-04-11,No,3.0
95,Meena Sharma,56.0,Female,HR,105135.0,20.0,2013-01-17,Yes,4.0
96,Meena Kumar,24.0,Female,HR,112142.0,3.0,2010-06-19,Yes,5.0
99,Rohit Gupta,49.0,Female,sales,116794.0,16.0,2015-02-20,No,3.0
100,Meena Kumar,47.0,Male,IT,50945.0,4.0,2014-12-13,Yes,2.0
101,Priya Sharma,42.0,Female,sales,26150.0,8.0,2016-11-25,No,4.0
102,Priya Kumar,20.0,Male,IT,91617.0,0.0,2015-02-17,No,2.0
103,Rohit Singh,51.0,Male,sales,32805.0,21.0,2020-05-28,Yes,1.0
104,Priya Singh,59.0,Male,Finance,81556.0,20.0,2017-08-06,No,1.0
105,Rohit Kumar,35.0,Male,IT,38500.0,6.0,2019-09-24,No,5.0
106,Priya Reddy,41.0,Female,sales,84638.0,2.0,2018-10-06,No,4.0
107,Anil Sharma,45.0,Male,sales,92215.0,18.0,2008-03-19,Yes,5.0
108,Anil Kumar,41.0,Female,sales,109664.0,13.0,2021-03-09,Yes,4.0
109,Anil Sharma,24.0,Male,IT,69078.0,16.0,2015-11-23,Yes,4.0
110,Arjun Kumar,24.0,Male,sales,68919.0,15.0,2011-12-02,Yes,5.0
111,Anil Sharma,58.0,Male,HR,116747.0,0.0,2005-03-05,Yes,5.0
112,Rohit Gupta,42.0,Male,Finance,48049.0,21.0,2021-08-23,Yes,5.0
113,Kavya Gupta,55.0,Female,Finance,93385.0,19.0,2012-04-14,No,2.0
114,Priya Singh,38.0,Female,IT,34823.0,0.0,2011-12-17,Yes,5.0
115,Priya Gupta,23.0,Female,HR,52663.0,23.0,2023-05-15,Yes,2.0
116,Rahul Reddy,47.0,Male,IT,116007.0,19.0,2022-05-03,No,4.0
117,Divya Gupta,54.0,Female,sales,60195.0,0.0,2019-03-01,Yes,1.0
118,Kavya Gupta,56.0,Male,sales,63304.0,7.0,2019-06-18,No,2.0
119,Meena Gupta,48.0,Female,Finance,111027.0,13.0,2019-08-15,Yes,2.0
120,Anil Singh,54.0,Male,Finance,52350.0,16.0,2008-11-14,Yes,2.0
121,Kavya Reddy,27.0,Male,IT,113668.0,9.0,2019-02-25,Yes,2.0
122,Arjun Singh,53.0,Female,IT,82458.0,8.0,2012-06-23,No,4.0
123,Rohit Sharma,30.0,Female,sales,25412.0,23.0,2023-03-29,No,4.0
124,Arjun Reddy,44.0,Female,HR,85692.0,24.0,2009-04-22,Yes,4.0
125,Amit Kumar,29.0,Female,Finance,63756.0,8.0,2022-03-10,Yes,3.0
126,Rahul Sharma,54.0,Female,Finance,110999.0,3.0,2014-03-20,No,2.0
127,Meena Sharma,58.0,Female,Finance,59911.0,23.0,2013-04-02,No,5.0
128,Amit Singh,31.0,Male,IT,61208.0,22.0,2010-08-11,No,5.0
129,Arjun Kumar,42.0,Female,IT,93450.0,8.0,2015-01-29,No,1.0
130,Priya Sharma,39.0,Male,IT,71959.0,24.0,2013-05-22,Yes,5.0
131,Anil Reddy,38.0,Male,Finance,72280.0,3.0,2011-06-09,Yes,4.0
132,Meena Singh,38.0,Male,sales,61939.0,8.0,2021-04-24,No,4.0
133,Sneha Reddy,33.0,Female,sales,76934.0,19.0,2023-10-08,Yes,3.0
134,Arjun Gupta,35.0,Male,sales,111900.0,4.0,2014-05-06,No,3.0
135,Priya Gupta,31.0,Female,IT,114112.0,19.0,2005-12-23,Yes,3.0
136,Kavya Kumar,40.0,Female,sales,85566.0,15.0,2012-06-16,No,1.0
137,Rahul Singh,58.0,Female,sales,109076.0,20.0,2015-04-08,Yes,2.0
138,Anil Reddy,58.0,Female,IT,113461.0,4.0,2021-11-23,Yes,3.0
139,Kavya Reddy,42.0,Female,Finance,99460.0,10.0,2013-09-03,No,3.0
140,Kavya Gupta,37.0,Female,sales,97267.0,8.0,2009-01-18,Yes,2.0
141,Kavya Reddy,36.0,Female,sales,102052.0,5.0,2005-12-13,No,5.0
142,Amit Kumar,59.0,Female,Finance,64081.0,8.0,2005-09-13,No,2.0
143,Anil Sharma,46.0,Male,IT,44065.0,1.0,2018-07-28,No,5.0
144,Meena Kumar,48.0,Female,Finance,79693.0,18.0,2007-07-19,No,5.0
145,Arjun Kumar,20.0,Female,IT,108285.0,19.0,2016-01-07,Yes,1.0
146,Meena Sharma,26.0,Male,sales,62080.0,12.0,2012-03-03,No,4.0
147,Amit Sharma,55.0,Female,HR,60909.0,18.0,2007-09-22,No,5.0
148,Anil Reddy,58.0,Male,Finance,50289.0,18.0,2006-12-08,No,3.0
149,Arjun Singh,32.0,Female,IT,111769.0,19.0,2015-02-04,Yes,4.0
150,Arjun Gupta,27.0,Female,HR,38116.0,8.0,2007-10-15,Yes,1.0
151,Kavya Sharma,22.0,Female,HR,105219.0,24.0,2019-03-31,No,4.0
152,Divya Gupta,44.0,Female,IT,58591.0,0.0,2019-01-03,Yes,5.0
153,Anil Kumar,25.0,Male,Finance,92641.0,11.0,2014-05-06,No,5.0
154,Amit Singh,51.0,Male,Finance,47700.0,14.0,2008-07-18,Yes,5.0
155,Kavya Gupta,35.0,Female,sales,118045.0,20.0,2013-12-11,Yes,3.0
156,Kavya Sharma,56.0,Male,HR,116362.0,18.0,2013-08-13,Yes,4.0
157,Kavya Gupta,37.0,Male,Finance,96726.0,8.0,2011-12-03,No,1.0
158,Sneha Sharma,33.0,Female,sales,77638.0,0.0,2020-02-01,Yes,5.0
159,Rohit Sharma,22.0,Female,sales,44087.0,22.0,2017-10-16,No,1.0
160,Priya Singh,30.0,Male,Finance,103859.0,9.0,2007-09-01,No,4.0
161,Kavya Gupta,43.0,Female,IT,91203.0,20.0,2006-01-07,No,2.0
162,Arjun Singh,47.0,Female,sales,86529.0,7.0,2013-10-25,No,2.0
163,Arjun Gupta,47.0,Male,sales,52355.0,4.0,2020-02-11,No,1.0
164,Anil Gupta,55.0,Male,HR,45159.0,21.0,2021-03-07,No,1.0
165,Rahul Sharma,28.0,Female,Finance,103752.0,20.0,2008-05-25,No,4.0
166,Anil Sharma,32.0,Female,IT,60547.0,15.0,2008-11-19,No,5.0
167,Amit Gupta,32.0,Female,Finance,59349.0,2.0,2011-09-05,No,5.0
168,Kavya Singh,25.0,Male,IT,30713.0,18.0,2020-03-05,No,5.0
169,Rahul Reddy,44.0,Female,IT,90545.0,23.0,2021-10-06,No,2.0
170,Arjun Reddy,24.0,Female,sales,26015.0,0.0,2016-11-29,Yes,1.0
171,Rohit Reddy,37.0,Male,Finance,33415.0,14.0,2008-07-17,Yes,3.0
172,Amit Reddy,30.0,Male,HR,87292.0,24.0,2021-07-27,No,3.0
173,Rahul Kumar,46.0,Male,IT,111704.0,12.0,2011-06-30,Yes,1.0
174,Kavya Reddy,53.0,Female,IT,100880.0,2.0,2016-04-23,Yes,1.0
175,Kavya Sharma,40.0,Female,HR,65943.0,22.0,2011-08-14,No,4.0
177,Amit Reddy,42.0,Male,IT,48524.0,20.0,2006-05-24,Yes,5.0
178,Rohit Gupta,29.0,Female,HR,57201.0,18.0,2011-08-14,Yes,1.0
179,Meena Sharma,40.0,Female,IT,81397.0,8.0,2021-12-27,Yes,1.0
180,Divya Kumar,32.0,Female,HR,82091.0,0.0,2023-08-04,Yes,1.0
181,Rahul Reddy,59.0,Male,Finance,117193.0,7.0,2016-06-12,Yes,2.0
182,Arjun Singh,53.0,Male,Finance,86877.0,21.0,2013-11-18,Yes,3.0
183,Divya Kumar,31.0,Male,sales,67944.0,21.0,2006-07-20,No,4.0
184,Rohit Sharma,24.0,Male,Finance,49285.0,24.0,2013-07-31,Yes,1.0
185,Arjun Sharma,42.0,Male,IT,69238.0,4.0,2021-04-29,Yes,5.0
186,Amit Singh,33.0,Female,Finance,62441.0,10.0,2012-10-06,Yes,3.0
187,Anil Singh,58.0,Female,Finance,106317.0,1.0,2018-04-28,Yes,2.0
188,Sneha Kumar,53.0,Female,IT,98553.0,14.0,2016-04-20,No,3.0
189,Divya Gupta,53.0,Female,IT,108251.0,24.0,2016-09-10,Yes,1.0
190,Arjun Gupta,43.0,Male,IT,67318.0,22.0,2012-09-22,No,2.0
191,Rohit Singh,36.0,Female,IT,64811.0,9.0,2011-09-30,No,1.0
192,Anil Gupta,29.0,Male,IT,44963.0,19.0,2012-05-29,No,5.0
193,Priya Gupta,53.0,Female,Finance,98477.0,20.0,2006-08-20,Yes,2.0
194,Meena Sharma,32.0,Male,HR,61586.0,10.0,2021-08-19,Yes,3.0
195,Rohit Sharma,42.0,Male,Finance,105719.0,10.0,2010-11-13,Yes,4.0
197,Amit Sharma,46.0,Male,Finance,94724.0,17.0,2020-05-12,No,5.0
198,Meena Sharma,38.0,Male,sales,82108.0,4.0,2017-02-28,Yes,2.0
199,Priya Kumar,47.0,Male,IT,61668.0,21.0,2005-03-16,Yes,5.0
200,Divya Gupta,25.0,Female,sales,41907.0,13.0,2005-05-18,No,2.0
201,Anil Gupta,33.0,Female,HR,116865.0,12.0,2007-03-01,No,3.0
202,Kavya Reddy,28.0,Male,Finance,48321.0,24.0,2020-08-21,Yes,1.0
203,Priya Singh,41.0,Female,sales,35478.0,23.0,2016-03-18,Yes,3.0
204,Arjun Kumar,36.0,Female,sales,89291.0,0.0,2006-09-02,Yes,1.0
205,Rahul Reddy,54.0,Female,HR,75428.0,19.0,2006-09-23,No,2.0
206,Arjun Reddy,47.0,Male,sales,98686.0,13.0,2021-09-20,No,2.0
207,Sneha Kumar,45.0,Male,Finance,29621.0,23.0,2005-08-31,Yes,3.0
208,Kavya Gupta,26.0,Female,Finance,30122.0,14.0,2018-11-16,Yes,3.0
209,Priya Reddy,37.0,Female,Finance,113869.0,2.0,2007-05-23,No,3.0
210,Amit Kumar,34.0,Female,sales,71271.0,24.0,2005-08-04,No,5.0
211,Rohit Kumar,47.0,Female,Finance,115825.0,6.0,2010-06-12,No,1.0
212,Rahul Sharma,36.0,Male,IT,31229.0,11.0,2011-09-22,No,1.0
213,Sneha Singh,36.0,Male,IT,28596.0,19.0,2012-06-14,No,1.0
214,Meena Reddy,23.0,Female,Finance,32561.0,2.0,2018-07-13,No,1.0
215,Rahul Singh,37.0,Female,IT,51734.0,3.0,2010-06-09,No,2.0
216,Kavya Kumar,27.0,Male,Finance,102735.0,16.0,2005-08-09,Yes,4.0
217,Meena Reddy,38.0,Female,IT,106449.0,8.0,2008-02-15,Yes,5.0
218,Rohit Singh,25.0,Male,IT,109659.0,1.0,2020-07-07,No,3.0
219,Arjun Gupta,25.0,Female,Finance,28812.0,24.0,2019-07-07,No,1.0
220,Kavya Singh,41.0,Male,IT,117436.0,5.0,2020-06-04,No,4.0
221,Meena Gupta,49.0,Female,IT,81138.0,23.0,2006-12-05,No,1.0
222,Kavya Singh,22.0,Female,sales,49818.0,7.0,2015-02-24,Yes,5.0
223,Anil Reddy,55.0,Female,sales,34111.0,5.0,2008-11-30,No,2.0
224,Meena Sharma,39.0,Female,Finance,104579.0,10.0,2021-07-16,No,4.0
225,Rohit Kumar,34.0,Female,HR,25117.0,16.0,2007-04-14,No,3.0
226,Kavya Sharma,21.0,Male,sales,25846.0,10.0,2018-05-23,Yes,2.0
227,Kavya Reddy,24.0,Female,IT,31469.0,21.0,2018-10-13,Yes,4.0
228,Sneha Reddy,38.0,Female,Finance,83067.0,0.0,2017-11-22,Yes,4.0
229,Arjun Sharma,31.0,Male,HR,92584.0,13.0,2013-01-20,Yes,5.0
230,Rohit Gupta,30.0,Female,sales,57254.0,3.0,2015-12-18,Yes,5.0
231,Amit Kumar,22.0,Female,sales,45128.0,5.0,2022-03-07,Yes,2.0
232,Amit Gupta,29.0,Male,sales,107180.0,22.0,2017-04-03,Yes,2.0
233,Amit Kumar,21.0,Female,IT,30287.0,1.0,2022-05-25,No,4.0
234,Divya Singh,20.0,Female,sales,26342.0,4.0,2012-11-13,Yes,1.0
235,Kavya Reddy,36.0,Male,sales,118070.0,23.0,2007-02-20,No,3.0
236,Rahul Sharma,49.0,Female,Finance,67078.0,16.0,2015-12-24,No,5.0
237,Rohit Singh,33.0,Female,Finance,92444.0,23.0,2020-08-01,No,3.0
239,Sneha Singh,54.0,Male,IT,30415.0,21.0,2007-12-06,No,4.0
240,Anil Kumar,48.0,Male,HR,33007.0,10.0,2014-11-25,Yes,1.0
241,Amit Sharma,56.0,Female,sales,55523.0,2.0,2019-11-27,No,5.0
242,Amit Sharma,56.0,Male,sales,44282.0,13.0,2018-04-26,Yes,2.0
243,Kavya Kumar,23.0,Male,IT,41984.0,12.0,2021-05-23,No,2.0
244,Amit Sharma,44.0,Male,sales,68303.0,7.0,2006-07-15,Yes,3.0
245,Meena Reddy,57.0,Male,HR,96520.0,22.0,2009-11-15,Yes,1.0
246,Divya Singh,44.0,Female,Finance,92728.0,0.0,2010-07-26,No,2.0
247,Anil Reddy,33.0,Female,Finance,61455.0,7.0,2022-07-31,No,3.0
248,Priya Sharma,58.0,Female,Finance,92506.0,5.0,2012-02-06,No,3.0
249,Arjun Sharma,26.0,Male,IT,108122.0,7.0,2010-11-18,No,2.0
250,Arjun Reddy,34.0,Female,IT,96324.0,0.0,2017-01-13,Yes,4.0
251,Amit Kumar,49.0,Male,IT,34446.0,3.0,2019-03-25,No,5.0
252,Sneha Kumar,57.0,Female,sales,91656.0,4.0,2019-12-10,Yes,3.0
253,Rahul Kumar,52.0,Female,Finance,92779.0,21.0,2008-09-29,Yes,2.0
254,Anil Reddy,29.0,Female,IT,68872.0,21.0,2006-09-24,Yes,5.0
255,Meena Gupta,50.0,Female,sales,54486.0,3.0,2007-08-03,Yes,5.0
256,Anil Sharma,43.0,Male,HR,89435.0,23.0,2005-10-17,No,5.0
257,Sneha Singh,27.0,Female,HR,89772.0,14.0,2020-02-07,Yes,4.0
259,Divya Sharma,50.0,Female,HR,64666.0,3.0,2017-04-05,Yes,4.0
260,Rohit Kumar,45.0,Male,IT,96315.0,10.0,2005-01-12,No,2.0
261,Priya Sharma,59.0,Male,HR,101325.0,5.0,2020-12-17,No,2.0
262,Kavya Singh,31.0,Male,Finance,100993.0,12.0,2006-09-06,Yes,2.0
263,Sneha Reddy,44.0,Female,sales,40328.0,14.0,2012-02-19,Yes,4.0
264,Rahul Gupta,31.0,Female,Finance,64915.0,3.0,2013-01-14,No,4.0
265,Meena Reddy,24.0,Female,HR,85279.0,4.0,2018-07-14,Yes,2.0
266,Sneha Reddy,47.0,Female,Finance,90310.0,8.0,2014-01-26,Yes,3.0
267,Priya Singh,48.0,Male,IT,69327.0,8.0,2009-12-26,Yes,3.0
268,Divya Gupta,42.0,Male,IT,59560.0,13.0,2014-12-12,No,5.0
269,Priya Kumar,40.0,Male,HR,26645.0,3.0,2016-02-17,No,1.0
270,Sneha Sharma,20.0,Male,sales,78173.0,22.0,2019-07-09,No,3.0
271,Anil Kumar,59.0,Female,IT,88374.0,20.0,2019-02-24,Yes,1.0
272,Rohit Reddy,28.0,Female,sales,82545.0,19.0,2011-01-25,Yes,1.0
273,Anil Reddy,45.0,Female,IT,38224.0,2.0,2008-07-31,Yes,4.0
274,Sneha Gupta,44.0,Female,IT,98509.0,1.0,2008-12-13,No,2.0
275,Divya Kumar,46.0,Male,sales,82761.0,16.0,2023-10-08,No,3.0
276,Rahul Singh,43.0,Female,IT,92526.0,19.0,2012-06-10,Yes,5.0
277,Kavya Sharma,43.0,Female,IT,71240.0,16.0,2008-03-06,No,5.0
278,Priya Reddy,41.0,Male,IT,44097.0,17.0,2008-07-14,No,5.0
279,Kavya Sharma,26.0,Female,Finance,95480.0,19.0,2019-12-06,No,1.0
280,Amit Sharma,39.0,Male,HR,171484.5,21.0,2022-04-16,No,4.0
281,Divya Sharma,59.0,Female,Finance,45806.0,0.0,2012-10-12,Yes,5.0
283,Rahul Singh,38.0,Female,HR,118501.0,16.0,2017-12-19,No,5.0
284,Priya Kumar,48.0,Male,sales,115397.0,15.0,2013-06-03,Yes,3.0
285,Kavya Gupta,37.0,Female,sales,58536.0,13.0,2018-08-16,Yes,3.0
286,Kavya Sharma,21.0,Female,sales,31645.0,16.0,2019-10-26,Yes,2.0
287,Rohit Gupta,49.0,Female,Finance,63565.0,18.0,2023-06-25,Yes,3.0
288,Priya Kumar,20.0,Male,Finance,77487.0,22.0,2022-08-09,No,3.0
289,Priya Gupta,51.0,Female,IT,100629.0,1.0,2014-11-12,No,4.0
290,Divya Kumar,52.0,Female,HR,106974.0,17.0,2014-04-15,Yes,5.0
291,Rohit Gupta,27.0,Male,IT,101534.0,2.0,2015-09-07,Yes,3.0
292,Arjun Gupta,27.0,Female,HR,81373.0,24.0,2021-12-25,Yes,5.0
293,Rahul Kumar,22.0,Female,Finance,64986.0,0.0,2023-09-17,Yes,4.0
294,Priya Singh,27.0,Female,sales,89929.0,2.0,2005-04-12,No,3.0
295,Priya Singh,35.0,Male,IT,79771.0,4.0,2007-05-16,No,5.0
296,Arjun Reddy,33.0,Female,sales,91358.0,15.0,2008-11-11,No,2.0
297,Anil Singh,26.0,Female,IT,29425.0,6.0,2013-05-10,No,1.0
298,Meena Kumar,42.0,Male,sales,85500.0,18.0,2012-03-13,Yes,5.0
299,Sneha Singh,38.0,Female,sales,38859.0,17.0,2023-06-01,No,2.0
300,Arjun Singh,20.0,Male,HR,48236.0,19.0,2023-09-07,Yes,3.0
301,Meena Kumar,21.0,Male,HR,119914.0,22.0,2019-04-03,No,4.0
302,Meena Gupta,39.0,Male,IT,39596.0,4.0,2023-10-16,Yes,1.0
303,Rohit Kumar,53.0,Male,sales,87516.0,11.0,2020-03-14,Yes,3.0
304,Anil Singh,41.0,Female,Finance,42771.0,23.0,2023-01-22,No,3.0
306,Amit Kumar,42.0,Female,HR,111143.0,16.0,2019-09-19,Yes,2.0
307,Arjun Sharma,36.0,Male,Finance,27573.0,8.0,2020-04-08,No,2.0
308,Amit Reddy,44.0,Female,Finance,85774.0,8.0,2023-04-21,No,3.0
309,Kavya Gupta,23.0,Female,Finance,80961.0,12.0,2015-07-24,Yes,2.0
310,Kavya Kumar,42.0,Female,Finance,99532.0,10.0,2013-05-03,Yes,2.0
311,Meena Kumar,40.0,Male,sales,117201.0,3.0,2016-03-23,No,1.0
312,Rohit Kumar,57.0,Female,IT,51657.0,16.0,2015-04-07,Yes,5.0
313,Meena Reddy,44.0,Female,IT,103411.0,22.0,2022-01-27,Yes,3.0
314,Meena Kumar,41.0,Female,Finance,86396.0,24.0,2005-02-08,No,3.0
315,Anil Reddy,59.0,Female,IT,71828.0,24.0,2010-01-28,Yes,3.0
316,Priya Singh,26.0,Female,sales,118065.0,12.0,2015-03-24,No,1.0
317,Rohit Sharma,45.0,Female,HR,114563.0,13.0,2023-03-19,Yes,2.0
318,Sneha Kumar,20.0,Female,sales,44250.0,20.0,2019-05-13,Yes,4.0
319,Divya Kumar,45.0,Female,Finance,78276.0,20.0,2013-07-13,Yes,3.0
320,Sneha Kumar,59.0,Male,sales,114599.0,3.0,2008-01-29,Yes,1.0
321,Amit Kumar,58.0,Male,IT,53769.0,22.0,2009-07-11,Yes,5.0
323,Rahul Kumar,38.0,Female,IT,92298.0,19.0,2015-03-31,No,3.0
324,Anil Kumar,36.0,Male,IT,49058.0,12.0,2014-07-22,Yes,3.0
325,Anil Sharma,53.0,Female,HR,72304.0,1.0,2021-06-11,Yes,5.0
326,Rohit Singh,28.0,Female,sales,40048.0,7.0,2019-07-22,Yes,1.0
327,Anil Sharma,20.0,Female,sales,59008.0,10.0,2018-09-17,Yes,2.0
329,Kavya Gupta,56.0,Male,HR,111123.0,11.0,2012-10-03,Yes,3.0
330,Anil Sharma,49.0,Female,sales,45581.0,1.0,2012-03-11,Yes,4.0
331,Arjun Singh,38.0,Male,Finance,116748.0,11.0,2016-03-07,Yes,3.0
332,Priya Singh,36.0,Female,sales,74481.0,12.0,2018-11-20,Yes,1.0
